,KeggID,Description
0,ds:H00001,B-cell acute lymphoblastic leukemia; B-cell acute lymphocytic leukemia
1,ds:H00002,T-cell acute lymphoblastic leukemia; T-cell acute lymphocytic leukemia
2,ds:H00003,Acute myeloid leukemia
3,ds:H00004,Chronic myeloid leukemia
4,ds:H00005,Chronic lymphocytic leukemia
5,ds:H00006,Hairy cell leukemia
6,ds:H00007,Hodgkin lymphoma
7,ds:H00008,Burkitt lymphoma
8,ds:H00009,Adult T-cell leukemia
9,ds:H00010,Multiple myeloma
10,ds:H00011,Lymphoplasmacytic lymphoma
11,ds:H00012,Polycythemia vera
12,ds:H00013,Small cell lung cancer
13,ds:H00014,Non-small cell lung cancer
14,ds:H00015,Malignant pleural mesothelioma
15,ds:H00016,Oral cancer
16,ds:H00017,Esophageal cancer
17,ds:H00018,Gastric cancer
18,ds:H00019,Pancreatic cancer
19,ds:H00020,Colorectal cancer
20,ds:H00021,Renal cell carcinoma
21,ds:H00022,Bladder cancer
22,ds:H00023,Testicular cancer
23,ds:H00024,Prostate cancer
24,ds:H00025,Penile cancer
25,ds:H00026,Endometrial cancer
26,ds:H00027,Ovarian cancer
27,ds:H00028,Choriocarcinoma
28,ds:H00029,Vulvar cancer
29,ds:H00030,Cervical cancer
30,ds:H00031,Breast cancer
31,ds:H00032,Thyroid cancer
32,ds:H00033,Adrenal carcinoma
33,ds:H00034,Carcinoid
34,ds:H00035,Ewing sarcoma
35,ds:H00036,Osteosarcoma
36,ds:H00037,Rhabdomyosarcoma
37,ds:H00038,Melanoma
38,ds:H00039,Basal cell carcinoma
39,ds:H00040,Squamous cell carcinoma
40,ds:H00041,Kaposi sarcoma
41,ds:H00042,Glioma
42,ds:H00043,Neuroblastoma
43,ds:H00044,Cancer of the anal canal
44,ds:H00045,Pancreatic neuroendocrine tumor
45,ds:H00046,Cholangiocarcinoma
46,ds:H00047,Gallbladder cancer
47,ds:H00048,Hepatocellular carcinoma; Liver cancer
48,ds:H00049,Myxoid liposarcoma
49,ds:H00050,Synovial sarcoma
50,ds:H00051,Alveolar soft part sarcoma
51,ds:H00052,Clear cell sarcoma of soft tissue
52,ds:H00053,Extraskeletal myxoid chondrosarcoma
53,ds:H00054,Nasopharyngeal cancer
54,ds:H00055,Laryngeal cancer
55,ds:H00056,Alzheimer disease; Dementia due to Alzheimer disease
56,ds:H00057,Parkinson disease
57,ds:H00058,Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease
58,ds:H00059,Huntington disease
59,ds:H00060,Dentatorubropallidoluysian atrophy (DRPLA)
60,ds:H00061,Prion disease; Creutzfeldt-Jacob disease (CJD); Gerstmann-Straussler disease (GSD); Gerstmann-Straussler-Scheinker disease (GSSD); Fatal familial insomnia (FFI)
