,KeggID,Description
0,dr:D00001,"Water (JP18/USP); Purified water (JP18); Purified water in containers (JP18); Water, purified (USP); Sterile purified water in containers (JP18); Water for injection (JP18); Water for injection in containers (JP18); Sterile water (TN)"
1,dr:D00002,Nadide (JAN/USAN/INN); Nicotinamide adenine dinucleotide
2,dr:D00003,Oxygen (JP18/USP)
3,dr:D00004,Carbon dioxide (JP18/USP); Carbon dioxide (TN)
4,dr:D00005,Flavin adenine dinucleotide (JAN); Adeflavin (TN)
5,dr:D00006,Pyridoxal phosphate hydrate (JP18); Pyridoxal phosphate monohydrate; Hipyridoxin (TN)
6,dr:D00007,Glutamic acid (USP); L-Glutamic acid (JP18)
7,dr:D00008,Hydrogen peroxide (USP); Oxydol (JP18); Oxyfull (TN)
8,dr:D00009,Glucose (JP18); Purified glucose (JP18); D-Glucose
9,dr:D00010,"Acetic acid, glacial (USP); Acetic acid (JP18/NF); Glacial acetic acid (JP18); Acetasol (TN)"
10,dr:D00011,Glycine (JP18/USP)
11,dr:D00012,Alanine (USP); L-Alanine (JP18)
12,dr:D00013,Aspartic acid (USP/INN); L-Aspartic acid (JP18)
13,dr:D00014,Glutathione (JP18); Glutathione (reduced type); Tathion (TN)
14,dr:D00015,Glutamine (USP); L-Glutamine (JP18); Levoglutamide; Endari (TN); Nutrestore (TN)
15,dr:D00016,Serine (USP); L-Serine (JP18)
16,dr:D00017,Formaldehyde (USP); Formalin (JP18)
17,dr:D00018,Ascorbic acid (JP18/USP/INN); Ascoltin (TN); Ascorbicap (TN); ASCOR (TN)
18,dr:D00019,Methionine (USP); L-Methionine (JP18); L-Methionine Z (TN)
19,dr:D00020,Tryptophan (USP/INN); L-Tryptophan (JP18)
20,dr:D00021,Phenylalanine (USP/INN); L-Phenylalanine (JP18)
21,dr:D00022,Tyrosine (USP/INN); L-Tyrosine (JP18)
22,dr:D00023,Urea (JP18/USP); Carbamide; Pastaron (TN)
23,dr:D00024,"Sulfur, precipitated (USP); Sulfur, sublimed (USP); Sulfur (JP18); Bensulfoid (TN); Sastid (TN)"
24,dr:D00025,"Sucrose (JP18/NF); White soft sugar (JP18); Sugar, compressible (NF); Sugar, confectioner's (NF); Sugar spheres (NF); Sucrose, purified; Sucrose (TN)"
25,dr:D00026,L-Cysteine (JP18); Ecolan (TN)
26,dr:D00027,Uracil (JAN/USAN)
27,dr:D00028,"Glycerin (JP18/USP); Concentrated glycerin (JP18); Glycerin, concentrated (JAN); Glycerol (INN)"
28,dr:D00029,Biotin (JP18/USP/INN); Bioepiderm (TN)
29,dr:D00030,Leucine (USP); L-Leucine (JP18)
30,dr:D00031,Oxiglutatione (JAN/INN); Glutathione (TN)
31,dr:D00032,Histidine (USP/INN); L-Histidine (JP18)
32,dr:D00033,"Phenol (JP18/USP); Liquefied phenol (JP18); Phenol for disinfection (JP18); Phenol, liquefied; Paoscle (TN); Phenol (TN); Liquefied phenol (TN); Phenol for disinfection (TN)"
33,dr:D00034,Adenine (JAN/USP); Leucon (TN)
34,dr:D00035,Proline (USP); L-Proline (JP18)
35,dr:D00036,Niacinamide (USP); Nicotinamide (JP18/INN)
36,dr:D00037,"Citric acid, anhydrous (USP); Anhydrous citric acid (JP18); Citric acid anhydrous (JAN)"
37,dr:D00038,Benzoic acid (JP18/USP); Benzoic acid (TN)
38,dr:D00039,Valine (USP); L-Valine (JP18)
39,dr:D00040,Cholesterol (JP18/NF); Cholesterol (TN)
40,dr:D00041,Threonine (USP); L-Threonine (JP18)
41,dr:D00042,Cobamamide (JAN/INN); Calomide (TN)
42,dr:D00043,Isoflurophate; Fluostigmine; Floropryl (TN)
43,dr:D00044,Maltose (NF); Madoros (TN)
44,dr:D00045,Adenosine (JAN/USP); Adenocard (TN); Adenoscan (TN)
45,dr:D00046,"Anhydrous lactose (JP18); Lactose, anhydrous (JAN/NF); Lactose (TN)"
46,dr:D00047,Taurine (JP18/USP/INN); Aminoethylsulfonic acid (JAN); Taurine (TN)
47,dr:D00048,Thioctic acid amide (JAN); Lipoamide
48,dr:D00049,Niacin (USP); Nicotinic acid (JP18/INN); Niacor (TN); Niaspan (TN)
49,dr:D00050,Riboflavin (JP18/USP/INN); Bisulase (TN)
50,dr:D00051,Androstenedione (JAN)
51,dr:D00052,Edetic acid (NF/INN); EDTA; Versene acid (TN)
52,dr:D00054,Inosine (JAN/INN); Inotin (TN)
53,dr:D00055,Orotic acid (JAN)
