,KeggID,Description
0,gn:T00001,hin; Haemophilus influenzae Rd KW20 (serotype d)
1,gn:T00002,mge; Mycoplasma genitalium G37
2,gn:T00003,mja; Methanocaldococcus jannaschii DSM 2661
3,gn:T00004,syn; Synechocystis sp. PCC 6803
4,gn:T00005,sce; Saccharomyces cerevisiae S288c
5,gn:T00006,mpn; Mycoplasma pneumoniae M129
6,gn:T00007,eco; Escherichia coli K-12 MG1655
7,gn:T00008,hpy; Helicobacter pylori 26695
8,gn:T00009,mth; Methanothermobacter thermautotrophicus Delta H
9,gn:T00010,bsu; Bacillus subtilis subsp. subtilis 168
10,gn:T00011,afu; Archaeoglobus fulgidus DSM 4304 (VC-16)
11,gn:T00012,bbu; Borreliella burgdorferi B31 (Borrelia burgdorferi B31)
12,gn:T00013,aae; Aquifex aeolicus VF5
13,gn:T00014,pho; Pyrococcus horikoshii OT3
14,gn:T00015,"mtu; Mycobacterium tuberculosis H37Rv, laboratory strain"
15,gn:T00016,tpa; Treponema pallidum subsp. pallidum Nichols
16,gn:T00017,ctr; Chlamydia trachomatis D/UW-3/CX
17,gn:T00018,rpr; Rickettsia prowazekii Madrid E
18,gn:T00019,cel; Caenorhabditis elegans (nematode)
19,gn:T00020,hpj; Helicobacter pylori J99
20,gn:T00021,cpn; Chlamydia pneumoniae CWL029
21,gn:T00022,tma; Thermotoga maritima MSB8
22,gn:T00023,ape; Aeropyrum pernix K1
23,gn:T00024,pab; Pyrococcus abyssi GE5
24,gn:T00025,dra; Deinococcus radiodurans R1
25,gn:T00026,cje; Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
26,gn:T00027,nme; Neisseria meningitidis MC58 (serogroup B)
27,gn:T00028,cmu; Chlamydia muridarum Nigg (Chlamydia trachomatis MoPn)
28,gn:T00029,cpa; Chlamydia pneumoniae AR39
29,gn:T00030,dme; Drosophila melanogaster (fruit fly)
30,gn:T00031,nma; Neisseria meningitidis Z2491 (serogroup A)
31,gn:T00032,cpj; Chlamydia pneumoniae J138
32,gn:T00033,xfa; Xylella fastidiosa 9a5c
33,gn:T00034,vch; Vibrio cholerae O1 El Tor N16961
34,gn:T00035,pae; Pseudomonas aeruginosa PAO1
35,gn:T00036,"buc; Buchnera aphidicola APS, endosymbiont of Acyrthosiphon pisum (pea aphid)"
36,gn:T00037,tac; Thermoplasma acidophilum DSM 1728
37,gn:T00038,hal; Halobacterium salinarum NRC-1 (Halobacterium sp. NRC-1)
38,gn:T00039,bha; Alkalihalobacillus halodurans C-125 (Bacillus halodurans C-125)
39,gn:T00040,uur; Ureaplasma parvum serovar 3 ATCC 700970
40,gn:T00041,ath; Arabidopsis thaliana (thale cress)
41,gn:T00042,tvo; Thermoplasma volcanium GSS1
42,gn:T00043,"mlo; Mesorhizobium japonicum MAFF 303099, endosymbiont of Lotus species (Mesorhizobium loti MAFF303099)"
43,gn:T00044,ece; Escherichia coli O157:H7 EDL933 (EHEC)
44,gn:T00045,lla; Lactococcus lactis subsp. lactis Il1403
45,gn:T00046,pmu; Pasteurella multocida subsp. multocida Pm70
46,gn:T00047,mle; Mycobacterium leprae TN
47,gn:T00048,ecs; Escherichia coli O157:H7 Sakai (EHEC)
48,gn:T00049,ccr; Caulobacter vibrioides CB15 (Caulobacter crescentus CB15)
49,gn:T00050,spy; Streptococcus pyogenes M1 GAS (serotype M1)
50,gn:T00051,"sau; Staphylococcus aureus subsp. aureus N315, hospital-acquired methicillin-resistant, vancomycin-susceptible"
51,gn:T00052,"sav; Staphylococcus aureus subsp. aureus Mu50, methicillin-resistant, vancomycin-intermediate resistance"
52,gn:T00053,"mtc; Mycobacterium tuberculosis CDC1551, clinical strain"
53,gn:T00054,sso; Saccharolobus solfataricus P2
54,gn:T00055,mpu; Mycoplasma pulmonis UAB CTIP
55,gn:T00056,cac; Clostridium acetobutylicum ATCC 824
56,gn:T00057,spn; Streptococcus pneumoniae TIGR4 (virulent serotype 4)
57,gn:T00058,"sme; Sinorhizobium meliloti 1021, endosymbiont of Medicago sativa and Medicago truncatula"
58,gn:T00060,spr; Streptococcus pneumoniae R6 (avirulent serotype 2) (laboratory-adapted D39 derivative)
59,gn:T00061,rco; Rickettsia conorii Malish 7
60,gn:T00062,sto; Sulfurisphaera tokodaii 7 (Sulfolobus tokodaii 7)
61,gn:T00063,ype; Yersinia pestis CO92 (biovar Orientalis)
62,gn:T00064,sty; Salmonella enterica subsp. enterica serovar Typhi CT18 (Salmonella typhi CT18)
63,gn:T00065,stm; Salmonella enterica subsp. enterica serovar Typhimurium LT2 (Salmonella typhimurium LT2)
64,gn:T00066,lmo; Listeria monocytogenes EGD-e (serotype 1/2a)
65,gn:T00067,lin; Listeria innocua Clip11262 (serotype 6a)
66,gn:T00068,ecj; Escherichia coli K-12 W3110
67,gn:T00069,ana; Nostoc sp. PCC 7120 (Anabaena sp. PCC 7120)
68,gn:T00070,atu; Agrobacterium fabrum C58 (Agrobacterium tumefaciens C58)
69,gn:T00071,rso; Ralstonia solanacearum GMI1000
70,gn:T00072,bme; Brucella melitensis bv. 1 16M
71,gn:T00073,pai; Pyrobaculum aerophilum IM2
72,gn:T00074,cpe; Clostridium perfringens 13
73,gn:T00075,pfu; Pyrococcus furiosus DSM 3638
74,gn:T00076,spo; Schizosaccharomyces pombe 972h-
75,gn:T00077,fnu; Fusobacterium nucleatum subsp. nucleatum ATCC 25586
76,gn:T00078,mka; Methanopyrus kandleri AV19
77,gn:T00079,spm; Streptococcus pyogenes MGAS8232 (serotype M18)
78,gn:T00080,mac; Methanosarcina acetivorans C2A
79,gn:T00081,tte; Caldanaerobacter subterraneus subsp. tengcongensis MB4(T) (Thermoanaerobacter tengcongensis MB4(T))
80,gn:T00082,mma; Methanosarcina mazei Go1
81,gn:T00083,xcc; Xanthomonas campestris pv. campestris ATCC 33913
82,gn:T00084,xac; Xanthomonas citri pv. citri 306 (Xanthomonas axonopodis pv. citri 306)
83,gn:T00085,sco; Streptomyces coelicolor A3(2)
84,gn:T00086,"sam; Staphylococcus aureus subsp. aureus MW2, community-acquired methicillin-resistant"
85,gn:T00087,"bas; Buchnera aphidicola Sg, endosymbiont of Schizaphis graminum (greenbug)"
86,gn:T00088,cte; Chlorobaculum tepidum TLS (Chlorobium tepidum TLS)
87,gn:T00089,spg; Streptococcus pyogenes MGAS315 (serotype M3)
88,gn:T00090,tel; Thermosynechococcus vestitus BP-1 (Thermosynechococcus elongatus BP-1)
89,gn:T00091,sag; Streptococcus agalactiae 2603 (serotype V)
90,gn:T00092,ypk; Yersinia pestis KIM10+ (biovar Mediaevalis)
91,gn:T00093,oih; Oceanobacillus iheyensis HTE831
92,gn:T00094,blo; Bifidobacterium longum NCC2705
93,gn:T00095,pfa; Plasmodium falciparum 3D7
94,gn:T00096,bms; Brucella suis 1330
95,gn:T00097,sfl; Shigella flexneri 301 (serotype 2a)
96,gn:T00098,lil; Leptospira interrogans serovar Lai 56601
97,gn:T00099,son; Shewanella oneidensis MR-1
98,gn:T00100,smu; Streptococcus mutans UA159 (serotype c)
99,gn:T00101,"wbr; Wigglesworthia glossinidia (Wigglesworthia brevipalpis), endosymbiont of Glossina brevipalpis (tsetse fly)"
100,gn:T00102,cgl; Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
101,gn:T00103,cef; Corynebacterium efficiens YS-314
102,gn:T00104,san; Streptococcus agalactiae NEM316 (serotype III)
103,gn:T00105,ecu; Encephalitozoon cuniculi GB-M1
104,gn:T00106,ecc; Escherichia coli O6:K2:H1 CFT073 (UPEC)
105,gn:T00107,mpe; Mycoplasma penetrans HF-2
106,gn:T00108,vvu; Vibrio vulnificus CMCP6
