,KeggID,REFERENCE
0,ds:H00641,PMID:12070241
1,ds:H00641,PMID:12357472
2,ds:H00641,PMID:19504607
3,ds:H00641,PMID:11528512
4,ds:H00642,PMID:16501574
5,ds:H00642,PMID:17682060
6,ds:H00642,PMID:8411061
7,ds:H00642,PMID:12070241
8,ds:H00643,PMID:11369996
9,ds:H00643,PMID:21054511
10,ds:H00643,PMID:16129001
11,ds:H00644,PMID:19504607
12,ds:H00644,PMID:19945625
13,ds:H00644,PMID:9326952
14,ds:H00644,PMID:16781314
15,ds:H00645,PMID:21163160
16,ds:H00645,PMID:12140463
17,ds:H00645,PMID:15295921
18,ds:H00646,PMID:6837628
19,ds:H00646,PMID:19504607
20,ds:H00646,PMID:17870445
21,ds:H00646,PMID:17847007
22,ds:H00647,PMID:21346770
23,ds:H00647,PMID:20691405
24,ds:H00648,PMID:19504607
25,ds:H00648,PMID:11546825
26,ds:H00648,PMID:8741874
27,ds:H00648,PMID:20301379
28,ds:H00649,PMID:21890491
29,ds:H00649,PMID:9295083
30,ds:H00649,PMID:16525032
31,ds:H00649,PMID:24714551
32,ds:H00649,PMID:27049303
33,ds:H00650,PMID:20713192
34,ds:H00650,PMID:17574010
35,ds:H00651,PMID:19504607
36,ds:H00651,PMID:12823289
37,ds:H00651,PMID:27838789
38,ds:H00652,PMID:15103725
39,ds:H00652,PMID:19341585
40,ds:H00653,PMID:11706995
41,ds:H00653,PMID:16571647
42,ds:H00653,PMID:12203987
43,ds:H00653,PMID:10633129
44,ds:H00653,PMID:20979188
45,ds:H00654,PMID:20812380
46,ds:H00654,PMID:18273731
47,ds:H00655,PMID:18273731
48,ds:H00656,PMID:21310615
49,ds:H00656,PMID:17336526
50,ds:H00656,PMID:17439987
51,ds:H00657,PMID:21310615
52,ds:H00657,PMID:19171836
53,ds:H00658,PMID:15630421
54,ds:H00658,PMID:18252223
55,ds:H00658,PMID:20548336
56,ds:H00658,PMID:21816345
57,ds:H00658,PMID:17436253
58,ds:H00658,PMID:15746149
59,ds:H00658,PMID:21575681
60,ds:H00658,PMID:19449417
61,ds:H00658,PMID:26571461
62,ds:H00658,PMID:27545675
63,ds:H00658,PMID:27333055
64,ds:H00658,PMID:12605440
65,ds:H00658,PMID:16523516
66,ds:H00658,PMID:14985377
67,ds:H00658,PMID:12428212
68,ds:H00658,PMID:17704778
69,ds:H00658,PMID:26166480
70,ds:H00658,PMID:20528889
71,ds:H00658,PMID:25735484
72,ds:H00658,PMID:20159109
73,ds:H00658,PMID:17668385
74,ds:H00658,PMID:15915161
75,ds:H00658,PMID:19377476
76,ds:H00658,PMID:27358180
77,ds:H00658,PMID:24690944
78,ds:H00658,PMID:24812067
79,ds:H00658,PMID:24115387
80,ds:H00658,PMID:26235985
81,ds:H00658,PMID:28098945
82,ds:H00658,PMID:16909393
83,ds:H00658,PMID:22814392
84,ds:H00658,PMID:26637982
85,ds:H00658,PMID:25316788
86,ds:H00658,PMID:30224647
87,ds:H00658,PMID:32703943
88,ds:H00658,PMID:31587868
89,ds:H00658,PMID:30471091
90,ds:H00658,PMID:23756445
91,ds:H00659,PMID:20301454
92,ds:H00659,PMID:8563763
93,ds:H00659,PMID:16333834
94,ds:H00659,PMID:9508238
95,ds:H00659,PMID:23023332
96,ds:H00660,PMID:16571647
97,ds:H00660,PMID:10633129
98,ds:H00660,PMID:7493032
99,ds:H00660,PMID:20301560
100,ds:H00661,PMID:16571647
101,ds:H00661,PMID:10633129
102,ds:H00661,PMID:8406497
103,ds:H00662,PMID:7802039
104,ds:H00662,PMID:15054843
105,ds:H00662,PMID:14502058
106,ds:H00662,PMID:19200529
107,ds:H00663,PMID:19020898
108,ds:H00663,PMID:9217218
109,ds:H00663,PMID:1605246
110,ds:H00664,PMID:10699493
111,ds:H00664,PMID:12393545
112,ds:H00664,PMID:17222195
113,ds:H00664,PMID:16086671
114,ds:H00664,PMID:20516363
115,ds:H00664,PMID:15054810
116,ds:H00665,PMID:20182615
117,ds:H00665,PMID:17467691
118,ds:H00665,PMID:14615129
119,ds:H00665,PMID:16364671
120,ds:H00665,PMID:21267004
121,ds:H00665,PMID:20814950
122,ds:H00666,PMID:20581245
123,ds:H00666,PMID:15121768
124,ds:H00666,PMID:20051941
125,ds:H00667,PMID:21890491
126,ds:H00667,PMID:20346438
127,ds:H00667,PMID:18830268
128,ds:H00667,PMID:18297072
129,ds:H00667,PMID:26160856
130,ds:H00668,PMID:8634459
131,ds:H00668,PMID:21852236
132,ds:H00668,PMID:10515893
133,ds:H00668,PMID:15717202
134,ds:H00668,PMID:17185460
135,ds:H00669,PMID:15210133
136,ds:H00669,PMID:10902626
137,ds:H00669,PMID:9738775
138,ds:H00670,PMID:17428470
139,ds:H00670,PMID:21890491
140,ds:H00670,PMID:21496408
141,ds:H00671,PMID:12130905
142,ds:H00671,PMID:16796630
143,ds:H00672,PMID:15086549
144,ds:H00672,PMID:17803606
145,ds:H00672,PMID:15113283
146,ds:H00673,PMID:14598350
147,ds:H00673,PMID:20301293
148,ds:H00673,PMID:19836009
149,ds:H00673,PMID:22539340
150,ds:H00674,PMID:1646049
151,ds:H00674,PMID:11369620
152,ds:H00674,PMID:16611302
153,ds:H00674,PMID:19291420
154,ds:H00675,PMID:12632327
155,ds:H00675,PMID:12624140
156,ds:H00676,PMID:19708017
157,ds:H00676,PMID:17344231
158,ds:H00676,PMID:16826526
159,ds:H00677,PMID:17213838
160,ds:H00677,PMID:15654336
161,ds:H00677,PMID:19102732
162,ds:H00678,PMID:20089978
163,ds:H00678,PMID:20089971
164,ds:H00678,PMID:17638425
165,ds:H00679,PMID:17115121
166,ds:H00679,PMID:2773936
167,ds:H00679,PMID:21959080
168,ds:H00679,PMID:21092922
169,ds:H00679,PMID:18571143
170,ds:H00679,PMID:16951682
171,ds:H00679,PMID:26643067
172,ds:H00679,PMID:21855841
173,ds:H00679,PMID:22036171
174,ds:H00679,PMID:24777941
175,ds:H00679,PMID:25865492
176,ds:H00679,PMID:26151409
177,ds:H00679,PMID:27120463
178,ds:H00679,PMID:26545878
179,ds:H00679,PMID:28931644
180,ds:H00679,PMID:29576217
181,ds:H00679,PMID:29186371
182,ds:H00679,PMID:29215095
183,ds:H00679,PMID:30620338
184,ds:H00679,PMID:31587869
185,ds:H00679,PMID:32128616
186,ds:H00679,PMID:30584594
187,ds:H00679,PMID:33313762
188,ds:H00679,PMID:33964137
189,ds:H00680,PMID:17041084
190,ds:H00680,PMID:19419448
191,ds:H00680,PMID:19061984
192,ds:H00681,PMID:21192260
193,ds:H00681,PMID:17958790
194,ds:H00681,PMID:15264991
195,ds:H00681,PMID:21495993
196,ds:H00681,PMID:20929727
197,ds:H00682,PMID:17710875
198,ds:H00682,PMID:19026396
199,ds:H00682,PMID:20507343
200,ds:H00682,PMID:21964978
201,ds:H00683,PMID:14126263
202,ds:H00683,PMID:12121551
203,ds:H00683,PMID:17186469
204,ds:H00684,PMID:21890491
205,ds:H00684,PMID:21326300
206,ds:H00684,PMID:7545493
207,ds:H00684,PMID:7539673
208,ds:H00684,PMID:9618173
209,ds:H00685,PMID:19732862
210,ds:H00685,PMID:11822703
211,ds:H00686,PMID:17352387
212,ds:H00686,PMID:21507892
213,ds:H00686,PMID:20301721
214,ds:H00687,PMID:12205104
215,ds:H00687,PMID:11105430
216,ds:H00687,PMID:3099574
217,ds:H00687,PMID:18661360
218,ds:H00687,PMID:22510445
219,ds:H00688,PMID:21929966
220,ds:H00688,PMID:18845459
221,ds:H00688,PMID:10470086
222,ds:H00688,PMID:11232563
223,ds:H00688,PMID:23636092
224,ds:H00688,PMID:26903630
225,ds:H00689,PMID:21929966
226,ds:H00689,PMID:18845459
227,ds:H00689,PMID:12736803
228,ds:H00689,PMID:28388406
229,ds:H00690,PMID:7612552
230,ds:H00690,PMID:2220819
231,ds:H00690,PMID:2667510
232,ds:H00690,PMID:17525176
233,ds:H00691,PMID:18571597
234,ds:H00691,PMID:12130905
235,ds:H00691,PMID:15663649
236,ds:H00692,PMID:16722554
237,ds:H00692,PMID:21103682
238,ds:H00693,PMID:10688369
239,ds:H00693,PMID:15949009
240,ds:H00693,PMID:10233323
241,ds:H00694,PMID:20946626
242,ds:H00694,PMID:15086899
243,ds:H00694,PMID:15627218
244,ds:H00695,PMID:15708285
245,ds:H00695,PMID:12603845
246,ds:H00695,PMID:12483299
247,ds:H00696,PMID:15708285
248,ds:H00696,PMID:15727652
249,ds:H00696,PMID:10662807
250,ds:H00696,PMID:10662808
251,ds:H00697,PMID:21310615
252,ds:H00697,PMID:20874719
253,ds:H00698,PMID:18367042
254,ds:H00698,PMID:20301465
255,ds:H00698,PMID:21109227
256,ds:H00698,PMID:23746549
257,ds:H00698,PMID:24268659
258,ds:H00698,PMID:25250574
259,ds:H00698,PMID:28017374
260,ds:H00699,PMID:18367042
261,ds:H00699,PMID:18313359
262,ds:H00699,PMID:17504518
263,ds:H00700,PMID:20181480
264,ds:H00700,PMID:18817572
265,ds:H00700,PMID:11053684
266,ds:H00700,PMID:22818856
