,KeggID,REFERENCE
0,gn:T00001,PMID:7542800
1,gn:T00002,PMID:7569993
2,gn:T00003,PMID:8688087
3,gn:T00004,PMID:8905231
4,gn:T00004,PMID:8590279
5,gn:T00005,PMID:8849441
6,gn:T00005,PMID:7731988
7,gn:T00005,PMID:7813418
8,gn:T00005,PMID:1574125
9,gn:T00005,PMID:9169867
10,gn:T00005,PMID:9169868
11,gn:T00005,PMID:7670463
12,gn:T00005,PMID:9169869
13,gn:T00005,PMID:8091229
14,gn:T00005,PMID:9169870
15,gn:T00005,PMID:8641269
16,gn:T00005,PMID:8196765
17,gn:T00005,PMID:9169871
18,gn:T00005,PMID:9169872
19,gn:T00005,PMID:9169873
20,gn:T00005,PMID:9169874
21,gn:T00005,PMID:9169875
22,gn:T00006,PMID:8948633
23,gn:T00007,PMID:9278503
24,gn:T00008,PMID:9252185
25,gn:T00009,PMID:9371463
26,gn:T00010,PMID:9384377
27,gn:T00011,PMID:9389475
28,gn:T00012,PMID:9403685
29,gn:T00013,PMID:9537320
30,gn:T00014,PMID:9679194
31,gn:T00015,PMID:9634230
32,gn:T00016,PMID:9665876
33,gn:T00017,PMID:9784136
34,gn:T00018,PMID:9823893
35,gn:T00019,PMID:9851916
36,gn:T00020,PMID:9923682
37,gn:T00021,PMID:10192388
38,gn:T00022,PMID:10360571
39,gn:T00023,PMID:10382966
40,gn:T00024,PMID:12622808
41,gn:T00025,PMID:10567266
42,gn:T00026,PMID:10688204
43,gn:T00027,PMID:10710307
44,gn:T00028,PMID:10684935
45,gn:T00029,PMID:10684935
46,gn:T00030,PMID:10731132
47,gn:T00031,PMID:10761919
48,gn:T00032,PMID:10871362
49,gn:T00033,PMID:10910347
50,gn:T00034,PMID:10952301
51,gn:T00035,PMID:10984043
52,gn:T00036,PMID:10993077
53,gn:T00037,PMID:11029001
54,gn:T00038,PMID:11016950
55,gn:T00039,PMID:11058132
56,gn:T00040,PMID:11048724
57,gn:T00041,PMID:11130712
58,gn:T00041,PMID:10617197
59,gn:T00041,PMID:11130713
60,gn:T00041,PMID:10617198
61,gn:T00041,PMID:11130714
62,gn:T00042,PMID:11121031
63,gn:T00043,PMID:11214968
64,gn:T00044,PMID:11206551
65,gn:T00045,PMID:11337471
66,gn:T00046,PMID:11248100
67,gn:T00047,PMID:11234002
68,gn:T00048,PMID:11258796
69,gn:T00048,PMID:9628576
70,gn:T00049,PMID:11259647
71,gn:T00050,PMID:11296296
72,gn:T00051,PMID:11418146
73,gn:T00052,PMID:11418146
74,gn:T00053,PMID:12218036
75,gn:T00054,PMID:11427726
76,gn:T00055,PMID:11353084
77,gn:T00056,PMID:11466286
78,gn:T00057,PMID:11463916
79,gn:T00058,PMID:11474104
80,gn:T00058,PMID:11481432
81,gn:T00058,PMID:11481431
82,gn:T00058,PMID:11481430
83,gn:T00060,PMID:11544234
84,gn:T00061,PMID:11557893
85,gn:T00062,PMID:11572479
86,gn:T00063,PMID:11586360
87,gn:T00064,PMID:11677608
88,gn:T00065,PMID:11677609
89,gn:T00066,PMID:11679669
90,gn:T00067,PMID:11679669
91,gn:T00068,PMID:25399415
92,gn:T00069,PMID:11759840
93,gn:T00070,PMID:11743193
94,gn:T00070,PMID:11743194
95,gn:T00071,PMID:11823852
96,gn:T00072,PMID:11756688
97,gn:T00073,PMID:11792869
98,gn:T00074,PMID:11792842
99,gn:T00075,PMID:10430560
100,gn:T00075,PMID:11115105
101,gn:T00075,PMID:11210495
102,gn:T00076,PMID:11859360
103,gn:T00077,PMID:11889109
104,gn:T00078,PMID:11930014
105,gn:T00079,PMID:11917108
106,gn:T00080,PMID:11932238
107,gn:T00081,PMID:11997336
108,gn:T00082,PMID:12125824
109,gn:T00083,PMID:12024217
110,gn:T00084,PMID:12024217
111,gn:T00085,PMID:12000953
112,gn:T00086,PMID:12044378
113,gn:T00087,PMID:12089438
114,gn:T00088,PMID:12093901
115,gn:T00089,PMID:12122206
116,gn:T00090,PMID:12240834
117,gn:T00091,PMID:12200547
118,gn:T00092,PMID:12142430
119,gn:T00093,PMID:12235376
120,gn:T00094,PMID:12381787
121,gn:T00095,PMID:12368864
122,gn:T00095,PMID:12368867
123,gn:T00095,PMID:12368868
124,gn:T00095,PMID:12368869
125,gn:T00095,PMID:10448855
126,gn:T00095,PMID:9804551
127,gn:T00096,PMID:12271122
128,gn:T00097,PMID:12384590
129,gn:T00098,PMID:12712204
130,gn:T00099,PMID:12368813
131,gn:T00100,PMID:12397186
132,gn:T00101,PMID:12219091
133,gn:T00102,PMID:12743753
134,gn:T00103,PMID:12840036
135,gn:T00104,PMID:12354221
136,gn:T00105,PMID:11719806
137,gn:T00106,PMID:12471157
138,gn:T00107,PMID:12466555
139,gn:T00108,PMID:14500463
140,gn:T00109,PMID:12597275
141,gn:T00110,PMID:12950922
142,gn:T00111,PMID:12522265
143,gn:T00112,PMID:12552129
144,gn:T00113,PMID:12533478
145,gn:T00114,PMID:12534463
146,gn:T00115,PMID:12566566
147,gn:T00115,PMID:22156394
148,gn:T00116,PMID:12902375
149,gn:T00117,PMID:12606174
150,gn:T00118,PMID:12928499
151,gn:T00119,PMID:12799345
152,gn:T00120,PMID:12620739
153,gn:T00121,PMID:12644504
154,gn:T00122,PMID:12663928
155,gn:T00123,PMID:12663927
156,gn:T00124,PMID:12704232
157,gn:T00125,PMID:12682364
158,gn:T00126,PMID:12692562
159,gn:T00127,PMID:12721630
160,gn:T00128,PMID:12704152
161,gn:T00129,PMID:12721629
162,gn:T00130,PMID:12700255
163,gn:T00131,PMID:12949158
164,gn:T00132,PMID:12788972
165,gn:T00133,PMID:12810954
166,gn:T00134,PMID:12835416
167,gn:T00135,
168,gn:T00136,
169,gn:T00137,PMID:12917486
170,gn:T00138,PMID:12886019
171,gn:T00139,PMID:12910271
172,gn:T00140,PMID:12910271
173,gn:T00141,PMID:12910271
174,gn:T00142,PMID:12917642
175,gn:T00143,PMID:12917642
176,gn:T00144,PMID:12917641
177,gn:T00145,PMID:12949112
178,gn:T00146,PMID:14500908
179,gn:T00147,PMID:14500782
180,gn:T00148,PMID:14621292
181,gn:T00149,PMID:14528314
182,gn:T00150,PMID:14656965
183,gn:T00151,PMID:14602910
184,gn:T00152,PMID:14566062
185,gn:T00153,PMID:14704707
186,gn:T00154,PMID:14661021
187,gn:T00155,PMID:14671304
188,gn:T00156,PMID:16116077
189,gn:T00157,PMID:15064399
190,gn:T00158,PMID:14983040
191,gn:T00159,PMID:14752164
192,gn:T00160,PMID:15024419
193,gn:T00161,PMID:14762060
194,gn:T00162,PMID:14960714
195,gn:T00163,PMID:17211581
196,gn:T00164,PMID:15466049
197,gn:T00165,PMID:15368893
198,gn:T00166,PMID:15028702
