,KeggID,DBLINKS
0,cpd:C17634,ChEBI: 81232
1,cpd:C17634,KNApSAcK: C00010960
2,cpd:C17634,PubChem: 96023978
3,cpd:C17635,ChEBI: 81233
4,cpd:C17635,KNApSAcK: C00010961
5,cpd:C17635,PubChem: 96023979
6,cpd:C17636,ChEBI: 81234
7,cpd:C17636,KNApSAcK: C00010856
8,cpd:C17636,PubChem: 96023980
9,cpd:C17637,ChEBI: 81235
10,cpd:C17637,PubChem: 96023981
11,cpd:C17638,ChEBI: 81236
12,cpd:C17638,PubChem: 96023982
13,cpd:C17639,PubChem: 96023983
14,cpd:C17639,ChEBI: 75632
15,cpd:C17639,ChEMBL: CHEMBL38714 CHEMBL81753
16,cpd:C17639,LIPIDMAPS: LMPK12030002
17,cpd:C17639,KNApSAcK: C00009077
18,cpd:C17639,NIKKAJI: J56.253J
19,cpd:C17639,CAS: 29106-49-8
20,cpd:C17640,PubChem: 96023984
21,cpd:C17640,ChEBI: 75621
22,cpd:C17640,ChEMBL: CHEMBL506487
23,cpd:C17640,KNApSAcK: C00009076
24,cpd:C17640,NIKKAJI: J257.846H
25,cpd:C17640,CAS: 12798-57-1
26,cpd:C17641,ChEBI: 81237
27,cpd:C17641,NIKKAJI: J108.042C
28,cpd:C17641,PubChem: 96023985
29,cpd:C17642,ChEBI: 81238
30,cpd:C17642,PubChem: 96023986
31,cpd:C17643,ChEBI: 81239
32,cpd:C17643,PubChem: 96023987
33,cpd:C17644,PubChem: 96023988
34,cpd:C17644,ChEBI: 81240
35,cpd:C17644,ChEMBL: CHEMBL1254416
36,cpd:C17644,LIPIDMAPS: LMST04010088
37,cpd:C17644,NIKKAJI: J363.683F
38,cpd:C17644,CAS: 2955-27-3
39,cpd:C17645,ChEBI: 81241
40,cpd:C17645,NIKKAJI: J18.685F
41,cpd:C17645,PubChem: 96023989
42,cpd:C17646,ChEBI: 81242
43,cpd:C17646,ChEMBL: CHEMBL410872
44,cpd:C17646,LIPIDMAPS: LMST04010041
45,cpd:C17646,NIKKAJI: J39.832B
46,cpd:C17646,PubChem: 96023990
47,cpd:C17647,PubChem: 96023991
48,cpd:C17647,ChEBI: 134116 81243
49,cpd:C17647,ChEMBL: CHEMBL2074894
50,cpd:C17647,LIPIDMAPS: LMST04010066
51,cpd:C17647,NIKKAJI: J367.449E
52,cpd:C17647,CAS: 2393-58-0
53,cpd:C17648,ChEBI: 138847
54,cpd:C17648,PubChem: 163311805
55,cpd:C17649,PubChem: 96023992
56,cpd:C17649,ChEBI: 81244
57,cpd:C17649,ChEMBL: CHEMBL156391 CHEMBL1908063 CHEMBL2074894 CHEMBL3138317
58,cpd:C17649,LIPIDMAPS: LMST04010064
59,cpd:C17649,NIKKAJI: J15.782A
60,cpd:C17649,CAS: 547-75-1
61,cpd:C17650,PubChem: 96023993
62,cpd:C17650,ChEBI: 81245
63,cpd:C17650,LIPIDMAPS: LMST04010057
64,cpd:C17650,CAS: 107368-95-6
65,cpd:C17651,PubChem: 96023994
66,cpd:C17651,ChEBI: 81246
67,cpd:C17651,LIPIDMAPS: LMST04010254
68,cpd:C17651,CAS: 6879-45-4
69,cpd:C17652,ChEBI: 181941 81247
70,cpd:C17652,NIKKAJI: J37.076B
71,cpd:C17652,PubChem: 96023995
72,cpd:C17653,ChEBI: 182956 81248
73,cpd:C17653,PubChem: 96023996
74,cpd:C17654,PubChem: 96023997
75,cpd:C17654,ChEBI: 81249
76,cpd:C17654,ChEMBL: CHEMBL3138040
77,cpd:C17654,LIPIDMAPS: LMST04010102
78,cpd:C17654,NIKKAJI: J91.793A
79,cpd:C17654,CAS: 105369-89-9
80,cpd:C17655,ChEBI: 81250
81,cpd:C17655,PubChem: 96023998
82,cpd:C17656,ChEBI: 181419 81251
83,cpd:C17656,PubChem: 96023999
84,cpd:C17657,ChEBI: 81252
85,cpd:C17657,LIPIDMAPS: LMST04010113
86,cpd:C17657,PubChem: 96024000
87,cpd:C17658,PubChem: 96024001
88,cpd:C17658,ChEBI: 81253
89,cpd:C17658,ChEMBL: CHEMBL270067 CHEMBL3138225 CHEMBL349105
90,cpd:C17658,LIPIDMAPS: LMST04010004
91,cpd:C17658,NIKKAJI: J363.671B
92,cpd:C17658,CAS: 1534-35-6
93,cpd:C17659,ChEBI: 182404 81254
94,cpd:C17659,NIKKAJI: J221.797J
95,cpd:C17659,PubChem: 96024002
96,cpd:C17660,PubChem: 96024003
97,cpd:C17660,ChEBI: 88102
98,cpd:C17660,ChEMBL: CHEMBL3342076
99,cpd:C17660,LIPIDMAPS: LMST04010034
100,cpd:C17660,NIKKAJI: J21.478G
101,cpd:C17660,CAS: 566-24-5
102,cpd:C17661,PubChem: 96024004
103,cpd:C17661,ChEBI: 81256
104,cpd:C17661,LIPIDMAPS: LMST04010049
105,cpd:C17661,NIKKAJI: J363.678J
106,cpd:C17661,CAS: 566-17-6
107,cpd:C17662,PubChem: 96024005
108,cpd:C17662,ChEBI: 43419
109,cpd:C17662,ChEMBL: CHEMBL1233687
110,cpd:C17662,LIPIDMAPS: LMST04010035
111,cpd:C17662,PDB-CCD: IU5
112,cpd:C17662,NIKKAJI: J21.479E
113,cpd:C17662,CAS: 78919-26-3
114,cpd:C17663,PubChem: 96024006
115,cpd:C17663,ChEBI: 81257
116,cpd:C17663,NIKKAJI: J5.534D
117,cpd:C17663,CAS: 122-72-5
118,cpd:C17664,ChEBI: 81258
119,cpd:C17664,ChEMBL: CHEMBL242200
120,cpd:C17664,LIPIDMAPS: LMST04010036
121,cpd:C17664,NIKKAJI: J14.876H
122,cpd:C17664,PubChem: 96024007
123,cpd:C17665,PubChem: 96024008
124,cpd:C17665,ChEBI: 81259
125,cpd:C17665,NIKKAJI: J34.547D
126,cpd:C17665,CAS: 10402-52-5
127,cpd:C17666,PubChem: 96024009
128,cpd:C17666,ChEBI: 81260
129,cpd:C17666,NIKKAJI: J155.075F
130,cpd:C17666,CAS: 2114-29-6
131,cpd:C17667,ChEBI: 81261
132,cpd:C17667,ChEMBL: CHEMBL2079384
133,cpd:C17667,LIPIDMAPS: LMST04010107
134,cpd:C17667,NIKKAJI: J1.772.832F
135,cpd:C17667,PubChem: 96024010
136,cpd:C17668,PubChem: 96024011
137,cpd:C17668,ChEBI: 81262
138,cpd:C17668,LIPIDMAPS: LMST04010101
139,cpd:C17668,CAS: 14959-83-2
140,cpd:C17669,PubChem: 96024012
141,cpd:C17669,ChEBI: 81263
142,cpd:C17669,ChEMBL: CHEMBL461085
143,cpd:C17669,NIKKAJI: J816.770B
144,cpd:C17669,CAS: 70588-06-6
145,cpd:C17670,PubChem: 96024013
